"study_name_rare","source_rare","study_name_common","source_common","trait_rare","trait_common","tier","match_type"
"ukb-wes-bm-00002340","backman","ukb-d-4968","ukb","FI4 positional arithmetic - 5 (4968)","FI4 : positional arithmetic","all","fuzzy2"
"ukb-wes-bm-00002710","backman","ukb-d-4968","ukb","FI4 positional arithmetic - 8 (4968)","FI4 : positional arithmetic","all","fuzzy2"
"ukb-wes-bm-00001417","backman","ukb-d-4979","ukb","FI5 family relationship calculation - Aunt (4979)","FI5 : family relationship calculation","all","fuzzy2"
"ukb-wes-bm-00000880","backman","ukb-d-5699","ukb","FI10 arithmetic sequence recognition - 95 (20183)","FI10 : arithmetic sequence recognition","all","fuzzy2"
"ukb-wes-bm-00001265","backman","ukb-d-5699","ukb","FI10 arithmetic sequence recognition - 92 (20183)","FI10 : arithmetic sequence recognition","all","fuzzy2"
"ukb-wes-bm-00003075","backman","ukb-d-5699","ukb","FI10 arithmetic sequence recognition - 93 (20183)","FI10 : arithmetic sequence recognition","all","fuzzy2"
"ukb-wes-bm-00003381","backman","ukb-d-5699","ukb","FI10 arithmetic sequence recognition - 94 (20183)","FI10 : arithmetic sequence recognition","all","fuzzy2"
"ukb-wes-bm-00003765","backman","ukb-d-5699","ukb","FI10 arithmetic sequence recognition - 96 (20183)","FI10 : arithmetic sequence recognition","all","fuzzy2"
"ukb-wes-bm-00000967","backman","ukb-d-5959","ukb","Previously smoked cigarettes on most all days - Yes (5959)","Previously smoked cigarettes on most/all days","all","fuzzy2"
"ukb-wes-bm-00001973","backman","ukb-d-6020-1","ukb","Completion status of test - Fully completed (6020)","Completion status of test: Fully completed","all","fuzzy2"
"ukb-wes-bm-00003205","backman","ukb-b-10002","ukb","Manic hyper symptoms 15 All of the above (6156)","Manic/hyper symptoms: All of the above","all","fuzzy3"
"ukb-wes-bm-00002430","backman","ukb-b-10003","ukb","Treatment or Medication Code - becotide 50 inhaler","Treatment/medication code: becotide 50 inhaler","all","fuzzy3"
"ukb-wes-bm-00002322","backman","ukb-b-10008","ukb","Treatment or Medication Code - atorvastatin","Treatment/medication code: atorvastatin","all","fuzzy3"
"ukb-wes-bm-00003464","backman","ukb-b-10093","ukb","Tense highly strung - Yes (1990)","Tense / 'highly strung'","all","fuzzy3"
"ukb-wes-bm-00002389","backman","ukb-b-10224","ukb","Non cancer illness code self reported - disc degeneration/ICD10 M51","Non-cancer illness code, self-reported: meningitis","all","fuzzy3"
"ukb-wes-bm-00000655","backman","ukb-b-10258","ukb","Treatment or Medication Code - paroxetine","Treatment/medication code: paroxetine","all","fuzzy3"
"ukb-wes-bm-00001149","backman","ukb-b-10284","ukb","Treatment or Medication Code - multivitamins","Treatment/medication code: multivitamins","all","fuzzy3"
"ukb-wes-bm-00003016","backman","ukb-b-10387","ukb","Leg pain on walking - Yes (4728)","Leg pain on walking","all","fuzzy3"
"ukb-wes-bm-00001201","backman","ukb-b-10433","ukb","Treatment or Medication Code - fexofenadine","Treatment/medication code: fexofenadine","all","fuzzy3"
"ukb-wes-bm-00000109","backman","ukb-b-10537","ukb","Non cancer illness code self reported - sarcoidosis/ICD10 D86","Non-cancer illness code, self-reported: psoriasis","all","fuzzy3"
"ukb-wes-bm-00001106","backman","ukb-b-10537","ukb","Non cancer illness code self reported - parkinsons disease/ICD10 G20","Non-cancer illness code, self-reported: psoriasis","all","fuzzy3"
"ukb-wes-bm-00000632","backman","ukb-b-10591","ukb","Chest pain or discomfort - Yes (2335)","Chest pain or discomfort","all","fuzzy3"
"ukb-wes-bm-00002923","backman","ukb-b-10713","ukb","Treatment or Medication Code - loratadine","Treatment/medication code: loratadine","all","fuzzy3"
"ukb-wes-bm-00000186","backman","ukb-b-10766","ukb","Treatment or Medication Code - tegretol 100mg tablet","Treatment/medication code: tegretol 100mg tablet","all","fuzzy3"
"ukb-wes-bm-00001414","backman","ukb-b-10831","ukb","Pack years of smoking (20161)","Pack years of smoking","all","fuzzy3"
"ukb-wes-bm-00003801","backman","ukb-b-11268","ukb","Treatment or Medication Code - simvastatin","Treatment/medication code: simvastatin","all","fuzzy3"
"ukb-wes-bm-00000706","backman","ukb-b-11361","ukb","ECG heart rate (5983)","ECG, heart rate","all","fuzzy3"
"ukb-wes-bm-00000374","backman","ukb-b-11588","ukb","Manic hyper symptoms 13 I needed less sleep than usual (6156)","Manic/hyper symptoms: I needed less sleep than usual","all","fuzzy3"
"ukb-wes-bm-00000153","backman","ukb-b-1166","ukb","Treatment or Medication Code - dihydrocodeine","Treatment/medication code: dihydrocodeine","all","fuzzy3"
"ukb-wes-bm-00003215","backman","ukb-b-11736","ukb","Non cancer illness code self reported - peripheral vascular disease","Non-cancer illness code, self-reported: meniere's disease","all","fuzzy3"
"ukb-wes-bm-00001808","backman","ukb-b-11751","ukb","Non cancer illness code self reported - mumps epidemic parotitis","Non-cancer illness code, self-reported: peritonitis","all","fuzzy3"
"ukb-wes-bm-00003884","backman","ukb-b-11878","ukb","Treatment or Medication Code - losartan","Treatment/medication code: losartan","all","fuzzy3"
"ukb-wes-bm-00000312","backman","ukb-b-12064","ukb","Non cancer illness code self reported - fracture nose/ICD10 S022","Non-cancer illness code, self-reported: depression","all","fuzzy3"
"ukb-wes-bm-00000387","backman","ukb-b-12064","ukb","Non cancer illness code self reported - dry eyes/ICD10 H04","Non-cancer illness code, self-reported: depression","all","fuzzy3"
"ukb-wes-bm-00001751","backman","ukb-b-12089","ukb","Treatment or Medication Code - mebeverine","Treatment/medication code: mebeverine","all","fuzzy3"
"ukb-wes-bm-00001743","backman","ukb-b-12141","ukb","Non cancer illness code self reported - whooping cough pertussis","Non-cancer illness code, self-reported: osteoporosis","all","fuzzy3"
"ukb-wes-bm-00003855","backman","ukb-b-12171","ukb","Treatment or Medication Code - ferrous sulphate","Treatment/medication code: ferrous sulphate","all","fuzzy3"
"ukb-wes-bm-00000509","backman","ukb-b-12209","ukb","Treatment or Medication Code - methotrexate","Treatment/medication code: methotrexate","all","fuzzy3"
"ukb-wes-bm-00003830","backman","ukb-b-12654","ukb","Former alcohol drinker - Yes (3731)","Former alcohol drinker","all","fuzzy3"
"ukb-wes-bm-00002679","backman","ukb-b-12722","ukb","Non cancer illness code self reported - fracture tibia/ICD10 S8220","Non-cancer illness code, self-reported: uterine fibroids","all","fuzzy3"
"ukb-wes-bm-00003681","backman","ukb-b-12722","ukb","Non cancer illness code self reported - fracture rib/ICD10 S223","Non-cancer illness code, self-reported: uterine fibroids","all","fuzzy3"
"ukb-wes-bm-00000360","backman","ukb-b-12812","ukb","Treatment or Medication Code - bendrofluazide","Treatment/medication code: bendrofluazide","all","fuzzy3"
"ukb-wes-bm-00001841","backman","ukb-b-12861","ukb","Treatment or Medication Code - gaviscon liquid","Treatment/medication code: gaviscon liquid","all","fuzzy3"
"ukb-wes-bm-00003775","backman","ukb-b-12864","ukb","Leg pain when walking normally - Yes (5485)","Leg pain when walking normally","all","fuzzy3"
"ukb-wes-bm-00002117","backman","ukb-b-12909","ukb","Mother still alive - Yes (1835)","Mother still alive","all","fuzzy3"
"ukb-wes-bm-00002870","backman","ukb-b-12948","ukb","Non cancer illness code self reported - diabetic eye disease/ICD10 H36","Non-cancer illness code, self-reported: diabetes","all","fuzzy3"
"ukb-wes-bm-00001822","backman","ukb-b-1302","ukb","Treatment or Medication Code - sertraline","Treatment/medication code: sertraline","all","fuzzy3"
"ukb-wes-bm-00003518","backman","ukb-b-13079","ukb","Treatment or Medication Code - candesartan cilexetil","Treatment/medication code: candesartan cilexetil","all","fuzzy3"
"ukb-wes-bm-00001642","backman","ukb-b-131","ukb","Non cancer illness code self reported - bph benign prostatic hypertrophy","Non-cancer illness code, self-reported: pancreatitis","all","fuzzy3"
"ukb-wes-bm-00001719","backman","ukb-b-13160","ukb","Father still alive - Yes (1797)","Father still alive","all","fuzzy3"
"ukb-wes-bm-00002631","backman","ukb-b-13251","ukb","Non cancer illness code self reported - vertigo/ICD10 R42","Non-cancer illness code, self-reported: gout","all","fuzzy3"
"ukb-wes-bm-00002675","backman","ukb-b-13513","ukb","Non cancer illness code self reported - dyspepsia indigestion","Non-cancer illness code, self-reported: appendicitis","all","fuzzy3"
"ukb-wes-bm-00001634","backman","ukb-b-13532","ukb","Non cancer illness code self reported - prostate problem not cancer/ICD10 N42","Non-cancer illness code, self-reported: thyroid problem (not cancer)","all","fuzzy3"
"ukb-wes-bm-00001976","backman","ukb-b-13532","ukb","Non cancer illness code self reported - other respiratory problems/ICD10 J98","Non-cancer illness code, self-reported: thyroid problem (not cancer)","all","fuzzy3"
"ukb-wes-bm-00003791","backman","ukb-b-13532","ukb","Non cancer illness code self reported - testicular problems not cancer","Non-cancer illness code, self-reported: thyroid problem (not cancer)","all","fuzzy3"
"ukb-wes-bm-00000549","backman","ukb-b-13664","ukb","Treatment or Medication Code - rosuvastatin","Treatment/medication code: rosuvastatin","all","fuzzy3"
"ukb-wes-bm-00000777","backman","ukb-b-13702","ukb","Time spent doing vigorous physical activity 46 4 - hours (104900)","Time spent doing vigorous physical activity","all","fuzzy3"
"ukb-wes-bm-00001975","backman","ukb-b-13702","ukb","Time spent doing vigorous physical activity 12 1 - hours (104900)","Time spent doing vigorous physical activity","all","fuzzy3"
"ukb-wes-bm-00003585","backman","ukb-b-13702","ukb","Time spent doing vigorous physical activity 600 - hours (104900)","Time spent doing vigorous physical activity","all","fuzzy3"
"ukb-wes-bm-00003899","backman","ukb-b-13702","ukb","Time spent doing vigorous physical activity 24 2 - hours (104900)","Time spent doing vigorous physical activity","all","fuzzy3"
"ukb-wes-bm-00000840","backman","ukb-b-13979","ukb","Non cancer illness code self reported - fracture clavicle collar bone","Non-cancer illness code, self-reported: fracture lower leg / ankle","all","fuzzy3"
"ukb-wes-bm-00002493","backman","ukb-b-13979","ukb","Non cancer illness code self reported - fracture upper arm humerus elbow","Non-cancer illness code, self-reported: fracture lower leg / ankle","all","fuzzy3"
"ukb-wes-bm-00002833","backman","ukb-b-14043","ukb","Illnesses of siblings 10 Alzheimers disease dementia (20111)","Illnesses of siblings: Alzheimer's disease/dementia","all","fuzzy3"
"ukb-wes-bm-00001364","backman","ukb-b-1419","ukb","Frequency of unenthusiasm disinterest in last 2 weeks - Several days (2060)","Frequency of unenthusiasm / disinterest in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00002072","backman","ukb-b-1419","ukb","Frequency of unenthusiasm disinterest in last 2 weeks - Nearly every day (2060)","Frequency of unenthusiasm / disinterest in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00002462","backman","ukb-b-1419","ukb","Frequency of unenthusiasm disinterest in last 2 weeks - More than half the days (2060)","Frequency of unenthusiasm / disinterest in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00001147","backman","ukb-b-14210","ukb","Non cancer illness code self reported - carpal tunnel syndrome/ICD10 G56","Non-cancer illness code, self-reported: rectal or colon adenoma/polyps","all","fuzzy3"
"ukb-wes-bm-00000719","backman","ukb-b-14303","ukb","Values entered (20229)","Values entered","all","fuzzy3"
"ukb-wes-bm-00001480","backman","ukb-b-14315","ukb","Treatment or Medication Code - nicorandil","Treatment/medication code: nicorandil","all","fuzzy3"
"ukb-wes-bm-00002043","backman","ukb-b-14356","ukb","Non cancer illness code self reported - nervous breakdown/ICD10 F430","Non-cancer illness code, self-reported: bone disorder","all","fuzzy3"
"ukb-wes-bm-00002897","backman","ukb-b-14356","ukb","Non cancer illness code self reported - nervous breakdown","Non-cancer illness code, self-reported: bone disorder","all","fuzzy3"
"ukb-wes-bm-00000619","backman","ukb-b-14516","ukb","FI1 numeric addition test - 16 (20165)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00001785","backman","ukb-b-14516","ukb","FI1 numeric addition test 17 17 (4935)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00001855","backman","ukb-b-14516","ukb","FI1 numeric addition test 14 14 (4935)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00001889","backman","ukb-b-14516","ukb","FI1 numeric addition test 16 16 (4935)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00002135","backman","ukb-b-14516","ukb","FI1 numeric addition test 13 13 (4935)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00003216","backman","ukb-b-14516","ukb","FI1 numeric addition test - 14 (20165)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00003686","backman","ukb-b-14516","ukb","FI1 numeric addition test 15 15 (4935)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00003854","backman","ukb-b-14516","ukb","FI1 numeric addition test - 15 (20165)","FI1 : numeric addition test","all","fuzzy3"
"ukb-wes-bm-00000937","backman","ukb-b-14540","ukb","Whole body water mass (23102)","Whole body water mass","all","fuzzy3"
"ukb-wes-bm-00000369","backman","ukb-b-14699","ukb","Illnesses of mother - Alzheimers disease dementia (20110)","Illnesses of mother: Alzheimer's disease/dementia","all","fuzzy3"
"ukb-wes-bm-00002844","backman","ukb-b-14918","ukb","Illnesses of siblings 12 Severe depression (20111)","Illnesses of siblings: Severe depression","all","fuzzy3"
"ukb-wes-bm-00003642","backman","ukb-b-15272","ukb","Ever manic hyper for 2 days - Yes (4642)","Ever manic/hyper for 2 days","all","fuzzy3"
"ukb-wes-bm-00002661","backman","ukb-b-15378","ukb","Had other major operations - Yes (2844)","Had other major operations","all","fuzzy3"
"ukb-wes-bm-00001825","backman","ukb-b-15582","ukb","Fractured bone sites - Ankle (6151)","Fractured bone site(s): Ankle","all","fuzzy3"
"ukb-wes-bm-00003621","backman","ukb-b-15649","ukb","Treatment or Medication Code - aspirin 75mg tablet","Treatment/medication code: aspirin 75mg tablet","all","fuzzy3"
"ukb-wes-bm-00002577","backman","ukb-b-15666","ukb","Treatment or Medication Code - amitriptyline","Treatment/medication code: amitriptyline","all","fuzzy3"
"ukb-wes-bm-00002653","backman","ukb-b-1572","ukb","Difficulty not smoking for 1 day - Fairly easy (3476)","Difficulty not smoking for 1 day","all","fuzzy3"
"ukb-wes-bm-00003826","backman","ukb-b-1572","ukb","Difficulty not smoking for 1 day - Very easy (3476)","Difficulty not smoking for 1 day","all","fuzzy3"
"ukb-wes-bm-00002205","backman","ukb-b-15746","ukb","Treatment or Medication Code - enalapril","Treatment/medication code: enalapril","all","fuzzy3"
"ukb-wes-bm-00003528","backman","ukb-b-15892","ukb","Pulse rate (4194)","Pulse rate","all","fuzzy3"
"ukb-wes-bm-00001101","backman","ukb-b-16128","ukb","Treatment or Medication Code - meloxicam","Treatment/medication code: meloxicam","all","fuzzy3"
"ukb-wes-bm-00003714","backman","ukb-b-16146","ukb","Treatment or Medication Code - nifedipine","Treatment/medication code: nifedipine","all","fuzzy3"
"ukb-wes-bm-00000086","backman","ukb-b-16407","ukb","Trunk fat percentage (23127)","Trunk fat percentage","all","fuzzy3"
"ukb-wes-bm-00002882","backman","ukb-b-16522","ukb","Illnesses of siblings 13 Prostate cancer (20111)","Illnesses of siblings: Prostate cancer","all","fuzzy3"
"ukb-wes-bm-00002509","backman","ukb-b-16609","ukb","Target heart rate achieved - True (6034)","Target heart rate achieved","all","fuzzy3"
"ukb-wes-bm-00003839","backman","ukb-b-1675","ukb","Treatment or Medication Code - betahistine","Treatment/medication code: betahistine","all","fuzzy3"
"ukb-wes-bm-00001603","backman","ukb-b-16868","ukb","Non cancer illness code self reported - miscarriage/ICD10 O04","Non-cancer illness code, self-reported: migraine","all","fuzzy3"
"ukb-wes-bm-00002702","backman","ukb-b-16881","ukb","Sitting height (20015)","Sitting height","all","fuzzy3"
"ukb-wes-bm-00001993","backman","ukb-b-16943","ukb","Illnesses of siblings 11 Parkinsons disease (20111)","Illnesses of siblings: Parkinson's disease","all","fuzzy3"
"ukb-wes-bm-00000161","backman","ukb-b-17006","ukb","Non cancer illness code self reported - female infertility","Non-cancer illness code, self-reported: head injury","all","fuzzy3"
"ukb-wes-bm-00003006","backman","ukb-b-17010","ukb","Treatment or Medication Code - omega 3 fish oil supplement","Treatment/medication code: omega-3/fish oil supplement","all","fuzzy3"
"ukb-wes-bm-00002427","backman","ukb-b-17032","ukb","Treatment or Medication Code - diazepam","Treatment/medication code: diazepam","all","fuzzy3"
"ukb-wes-bm-00002414","backman","ukb-b-17049","ukb","Non cancer illness code self reported - osteomyelitis/ICD10 M86","Non-cancer illness code, self-reported: tonsiltis","all","fuzzy3"
"ukb-wes-bm-00003515","backman","ukb-b-17049","ukb","Non cancer illness code self reported - tinnitus tiniitis","Non-cancer illness code, self-reported: tonsiltis","all","fuzzy3"
"ukb-wes-bm-00001326","backman","ukb-b-17314","ukb","Treatment or Medication Code - venlafaxine","Treatment/medication code: venlafaxine","all","fuzzy3"
"ukb-wes-bm-00002193","backman","ukb-b-17398","ukb","Treatment or Medication Code - oxytetracycline","Treatment/medication code: oxytetracycline","all","fuzzy3"
"ukb-wes-bm-00000062","backman","ukb-b-17409","ukb","Trunk fat free mass (23129)","Trunk fat-free mass","all","fuzzy3"
"ukb-wes-bm-00001139","backman","ukb-b-17633","ukb","Treatment or Medication Code - dosulepin","Treatment/medication code: dosulepin","all","fuzzy3"
"ukb-wes-bm-00002621","backman","ukb-b-17738","ukb","Fractured bone sites - Other bones (6151)","Fractured bone site(s): Other bones","all","fuzzy3"
"ukb-wes-bm-00001167","backman","ukb-b-18","ukb","Pairs matching completion status - Abandoned (20244)","Pairs matching completion status","all","fuzzy3"
"ukb-wes-bm-00002827","backman","ukb-b-18","ukb","Pairs matching completion status - Completed (20244)","Pairs matching completion status","all","fuzzy3"
"ukb-wes-bm-00002298","backman","ukb-b-18235","ukb","Non cancer illness code self reported - systemic lupus erythematosis sle","Non-cancer illness code, self-reported: muscle/soft tissue problem","all","fuzzy3"
"ukb-wes-bm-00002930","backman","ukb-b-18761","ukb","Treatment or Medication Code - sumatriptan","Treatment/medication code: sumatriptan","all","fuzzy3"
"ukb-wes-bm-00001929","backman","ukb-b-18799","ukb","Treatment or Medication Code - bendroflumethiazide","Treatment/medication code: bendroflumethiazide","all","fuzzy3"
"ukb-wes-bm-00003079","backman","ukb-b-19255","ukb","Fractured bone sites - Arm (6151)","Fractured bone site(s): Arm","all","fuzzy3"
"ukb-wes-bm-00002098","backman","ukb-b-19381","ukb","Non cancer illness code self reported - post natal depression","Non-cancer illness code, self-reported: osteopenia","all","fuzzy3"
"ukb-wes-bm-00002046","backman","ukb-b-19393","ukb","Whole body fat mass (23100)","Whole body fat mass","all","fuzzy3"
"ukb-wes-bm-00001735","backman","ukb-b-19657","ukb","Forced expiratory volume in 1 second FEV1 Z score (20256)","Forced expiratory volume in 1-second (FEV1)","all","fuzzy3"
"ukb-wes-bm-00002494","backman","ukb-b-19719","ukb","Non cancer illness code self reported - jaundice unknown cause","Non-cancer illness code, self-reported: menorrhagia (unknown cause)","all","fuzzy3"
"ukb-wes-bm-00000174","backman","ukb-b-1974","ukb","Treatment or Medication Code - felodipine","Treatment/medication code: felodipine","all","fuzzy3"
"ukb-wes-bm-00003545","backman","ukb-b-19759","ukb","Treatment or Medication Code - quinine","Treatment/medication code: quinine","all","fuzzy3"
"ukb-wes-bm-00000344","backman","ukb-b-19832","ukb","Treatment or Medication Code - fluoxetine","Treatment/medication code: fluoxetine","all","fuzzy3"
"ukb-wes-bm-00000648","backman","ukb-b-19957","ukb","Suffer from nerves - Yes (2010)","Suffer from 'nerves'","all","fuzzy3"
"ukb-wes-bm-00002922","backman","ukb-b-20044","ukb","Trunk fat mass (23128)","Trunk fat mass","all","fuzzy3"
"ukb-wes-bm-00002535","backman","ukb-b-2029","ukb","Treatment or Medication Code - finasteride","Treatment/medication code: finasteride","all","fuzzy3"
"ukb-wes-bm-00002386","backman","ukb-b-20349","ukb","Non cancer illness code self reported - prostate problem not cancer","Non-cancer illness code, self-reported: bladder problem (not cancer)","all","fuzzy3"
"ukb-wes-bm-00003364","backman","ukb-b-20349","ukb","Non cancer illness code self reported - testicular problems not cancer/ICD10 N50","Non-cancer illness code, self-reported: bladder problem (not cancer)","all","fuzzy3"
"ukb-wes-bm-00001760","backman","ukb-b-20480","ukb","Treatment or Medication Code - ranitidine","Treatment/medication code: ranitidine","all","fuzzy3"
"ukb-wes-bm-00003428","backman","ukb-b-20515","ukb","Recent medication for asthma - Yes (22167)","Recent medication for asthma","all","fuzzy3"
"ukb-wes-bm-00002357","backman","ukb-b-2094","ukb","Weight change compared with 1 year ago - Yes lost weight (2306)","Weight change compared with 1 year ago","all","fuzzy3"
"ukb-wes-bm-00000650","backman","ukb-b-266","ukb","Current eye infection - Yes (5183)","Current eye infection","all","fuzzy3"
"ukb-wes-bm-00000763","backman","ukb-b-2830","ukb","Financial situation satisfaction - Very unhappy (4581)","Financial situation satisfaction","all","fuzzy3"
"ukb-wes-bm-00003147","backman","ukb-b-2830","ukb","Financial situation satisfaction - Very happy (4581)","Financial situation satisfaction","all","fuzzy3"
"ukb-wes-bm-00000104","backman","ukb-b-298","ukb","Frequency of stair climbing in last 4 weeks - 11 15 times a day (943)","Frequency of stair climbing in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00001371","backman","ukb-b-298","ukb","Frequency of stair climbing in last 4 weeks 1 1 - times a day (943)","Frequency of stair climbing in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00002182","backman","ukb-b-298","ukb","Frequency of stair climbing in last 4 weeks 2 - 10 times a day (943)","Frequency of stair climbing in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00002254","backman","ukb-b-298","ukb","Frequency of stair climbing in last 4 weeks - 16 20 times a day (943)","Frequency of stair climbing in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00002558","backman","ukb-b-323","ukb","Illnesses of father 10 Alzheimers disease dementia (20107)","Illnesses of father: Alzheimer's disease/dementia","all","fuzzy3"
"ukb-wes-bm-00003591","backman","ukb-b-3380","ukb","Treatment or Medication Code - pravastatin","Treatment/medication code: pravastatin","all","fuzzy3"
"ukb-wes-bm-00003126","backman","ukb-b-3467","ukb","Non cancer illness code self reported - shingles/ICD10 B02","Non-cancer illness code, self-reported: bronchitis","all","fuzzy3"
"ukb-wes-bm-00001511","backman","ukb-b-3499","ukb","Fractured heel right - yes (4096)","Fractured heel (right)","all","fuzzy3"
"ukb-wes-bm-00002381","backman","ukb-b-3666","ukb","Family relationship satisfaction - Very happy (4559)","Family relationship satisfaction","all","fuzzy3"
"ukb-wes-bm-00002663","backman","ukb-b-3666","ukb","Family relationship satisfaction - Very unhappy (4559)","Family relationship satisfaction","all","fuzzy3"
"ukb-wes-bm-00003838","backman","ukb-b-3703","ukb","Non cancer illness code self reported - psoriatic arthropathy","Non-cancer illness code, self-reported: heart arrhythmia","all","fuzzy3"
"ukb-wes-bm-00001783","backman","ukb-b-3798","ukb","Fractured bone sites - Leg (6151)","Fractured bone site(s): Leg","all","fuzzy3"
"ukb-wes-bm-00000439","backman","ukb-b-3822","ukb","Frequency of depressed mood in last 2 weeks - Several days (2050)","Frequency of depressed mood in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00001624","backman","ukb-b-3822","ukb","Frequency of depressed mood in last 2 weeks - Nearly every day (2050)","Frequency of depressed mood in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00002740","backman","ukb-b-3841","ukb","Symbol digit completion status - Completed (20245)","Symbol digit completion status","all","fuzzy3"
"ukb-wes-bm-00003865","backman","ukb-b-3841","ukb","Symbol digit completion status - Abandoned (20245)","Symbol digit completion status","all","fuzzy3"
"ukb-wes-bm-00002281","backman","ukb-b-3859","ukb","Treatment or Medication Code - indapamide","Treatment/medication code: indapamide","all","fuzzy3"
"ukb-wes-bm-00003741","backman","ukb-b-4104","ukb","Treatment or Medication Code - loperamide","Treatment/medication code: loperamide","all","fuzzy3"
"ukb-wes-bm-00003533","backman","ukb-b-4122","ukb","Non cancer illness code self reported - constipation/ICD10 K59","Non-cancer illness code, self-reported: joint pain","all","fuzzy3"
"ukb-wes-bm-00002843","backman","ukb-b-4379","ukb","Treatment or Medication Code - tamoxifen","Treatment/medication code: tamoxifen","all","fuzzy3"
"ukb-wes-bm-00001238","backman","ukb-b-4650","ukb","Comparative body size at age 10 - Thinner (1687)","Comparative body size at age 10","all","fuzzy3"
"ukb-wes-bm-00003732","backman","ukb-b-4650","ukb","Comparative body size at age 10 - Plumper (1687)","Comparative body size at age 10","all","fuzzy3"
"ukb-wes-bm-00000812","backman","ukb-b-4655","ukb","Frequency of walking for pleasure in last 4 weeks 4 2 - times a week (971)","Frequency of walking for pleasure in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00002063","backman","ukb-b-4655","ukb","Frequency of walking for pleasure in last 4 weeks - Once a week (971)","Frequency of walking for pleasure in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00002087","backman","ukb-b-4655","ukb","Frequency of walking for pleasure in last 4 weeks 5 4 - times a week (971)","Frequency of walking for pleasure in last 4 weeks","all","fuzzy3"
"ukb-wes-bm-00003461","backman","ukb-b-4725","ukb","Non cancer illness code self reported - alcohol dependency","Non-cancer illness code, self-reported: duodenal ulcer","all","fuzzy3"
"ukb-wes-bm-00001984","backman","ukb-b-4876","ukb","Treatment or Medication Code - valsartan","Treatment/medication code: valsartan","all","fuzzy3"
"ukb-wes-bm-00002809","backman","ukb-b-5188","ukb","Non cancer illness code self reported - irregular heart beat","Non-cancer illness code, self-reported: ear/vestibular disorder","all","fuzzy3"
"ukb-wes-bm-00003345","backman","ukb-b-5257","ukb","Non cancer illness code self reported - fracture finger","Non-cancer illness code, self-reported: rheumatic fever","all","fuzzy3"
"ukb-wes-bm-00003133","backman","ukb-b-560","ukb","Treatment or Medication Code - multivitamin mineral preparations","Treatment/medication code: multivitamin+mineral preparations","all","fuzzy3"
"ukb-wes-bm-00000758","backman","ukb-b-5664","ukb","Frequency of tenseness restlessness in last 2 weeks - Not at all (2070)","Frequency of tenseness / restlessness in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00001117","backman","ukb-b-5664","ukb","Frequency of tenseness restlessness in last 2 weeks - Several days (2070)","Frequency of tenseness / restlessness in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00001154","backman","ukb-b-5664","ukb","Frequency of tenseness restlessness in last 2 weeks - Nearly every day (2070)","Frequency of tenseness / restlessness in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00002694","backman","ukb-b-5664","ukb","Frequency of tenseness restlessness in last 2 weeks - More than half the days (2070)","Frequency of tenseness / restlessness in last 2 weeks","all","fuzzy3"
"ukb-wes-bm-00000498","backman","ukb-b-5776","ukb","Daytime dozing sleeping narcolepsy - Never rarely (1220)","Daytime dozing / sleeping (narcolepsy)","all","fuzzy3"
"ukb-wes-bm-00003111","backman","ukb-b-5776","ukb","Daytime dozing sleeping narcolepsy - Sometimes (1220)","Daytime dozing / sleeping (narcolepsy)","all","fuzzy3"
"ukb-wes-bm-00002308","backman","ukb-b-5821","ukb","Treatment or Medication Code - oxybutynin","Treatment/medication code: oxybutynin","all","fuzzy3"
"ukb-wes-bm-00002561","backman","ukb-b-5942","ukb","Illnesses of father 12 Severe depression (20107)","Illnesses of father: Severe depression","all","fuzzy3"
"ukb-wes-bm-00000679","backman","ukb-b-5954","ukb","Part of a multiple birth - Yes (1777)","Part of a multiple birth","all","fuzzy3"
"ukb-wes-bm-00001177","backman","ukb-b-6066","ukb","Tea intake (1488)","Tea intake","all","fuzzy3"
"ukb-wes-bm-00003312","backman","ukb-b-6306","ukb","Overall health rating - Poor (2178)","Overall health rating","all","fuzzy3"
"ukb-wes-bm-00003416","backman","ukb-b-6306","ukb","Overall health rating - Good (2178)","Overall health rating","all","fuzzy3"
"ukb-wes-bm-00003588","backman","ukb-b-6306","ukb","Overall health rating - Fair (2178)","Overall health rating","all","fuzzy3"
