,trait,efo,confidence
2737,Operative procedures - secondary OPCS4 (S27.3 Random pattern local flap of skin to head or neck NEC),Scarring alopecia of scalp,4
2738,Operative procedures - secondary OPCS4 (S27.5 Local flap of skin to head or neck NEC),Abnormality of head or neck,4
2739,Operative procedures - secondary OPCS4 (S27.8 Other specified other local flap of skin),obsolete_abdominal skin,3
2740,Operative procedures - secondary OPCS4 (S27.9 Unspecified other local flap of skin),subcutaneous tissue disorder,4
2741,Operative procedures - secondary OPCS4 (S35.2 Meshed split autograft of skin NEC),obsolete_focal dermal hypoplasia,2
2742,Operative procedures - secondary OPCS4 (S35.8 Other specified split autograft of skin),obsolete_focal dermal hypoplasia,2
2743,Operative procedures - secondary OPCS4 (S35.9 Unspecified split autograft of skin),obsolete_Hyperpigmentation of the skin,1
2744,Operative procedures - secondary OPCS4 (S36.1 Full thickness autograft of skin to head or neck),encounter with health service for breast reconstruction following mastectomy,3
2745,Operative procedures - secondary OPCS4 (S36.2 Full thickness autograft of skin NEC),postburn hypertrophic scarring severity measurement,4
2746,Operative procedures - secondary OPCS4 (S41.1 Primary suture of skin of head or neck NEC),obsolete_median nodule of the upper lip,3
2747,Operative procedures - secondary OPCS4 (S42.1 Primary suture of skin NEC),Abnormal blistering of the skin,3
2748,Operative procedures - secondary OPCS4 (S47.2 Drainage of lesion of skin NEC),reactive cutaneous fibrous lesion,4
2749,Operative procedures - secondary OPCS4 (S47.3 Incision of lesion of skin of head or neck),Abnormality of head or neck,4
2750,Operative procedures - secondary OPCS4 (S48.2 Insertion of skin expander into subcutaneous tissue of breast),encounter with health service for breast reconstruction following mastectomy,5
2751,Operative procedures - secondary OPCS4 (S49.3 Removal of skin expander from subcutaneous tissue of breast),encounter with health service for breast reconstruction following mastectomy,5
2752,Operative procedures - secondary OPCS4 (S56.1 Debridement of skin of head or neck NEC),Scarring alopecia of scalp,3
2753,Operative procedures - secondary OPCS4 (S57.1 Debridement of skin NEC),acral peeling skin syndrome,4
2754,Operative procedures - secondary OPCS4 (S57.3 Toilet of skin NEC),Genetic acrokeratoderma,2
2755,Operative procedures - secondary OPCS4 (S57.7 Dressing of skin using vacuum assisted closure device NEC),postburn hypertrophic scarring severity measurement,4
2756,Operative procedures - secondary OPCS4 (S57.8 Other specified exploration of other skin of other site),encounter with health service related to previous surgical history,4
2757,Operative procedures - secondary OPCS4 (S60.4 Refashioning of scar NEC),obsolete_acrokeratoelastoidosis of Costa,2
2758,Operative procedures - secondary OPCS4 (S62.2 Liposuction of subcutaneous tissue NEC),Abnormal subcutaneous fat tissue distribution,5
2759,Operative procedures - secondary OPCS4 (S64.2 Chemical destruction of nail bed),Abnormality of the skin,4
2760,Operative procedures - secondary OPCS4 (T12.2 Drainage of pleural cavity NEC),pleural solitary fibrous tumor,4
2761,Operative procedures - secondary OPCS4 (T12.3 Aspiration of pleural cavity),Pleural effusion,5
2762,Operative procedures - secondary OPCS4 (T12.4 Insertion of tube drain into pleural cavity),disease of peritoneum,3
2763,Operative procedures - secondary OPCS4 (T20.2 Primary repair of inguinal hernia using insert of prosthetic material),inguinal hernia,5
2764,Operative procedures - secondary OPCS4 (T24.3 Repair of umbilical hernia using sutures),Umbilical hernia,5
2765,Operative procedures - secondary OPCS4 (T30.9 Unspecified opening of abdomen),Abnormality of the abdominal organs,4
2766,Operative procedures - secondary OPCS4 (T36.1 Omentectomy),omentin measurement,3
2767,Operative procedures - secondary OPCS4 (T36.4 Biopsy of lesion of omentum),ampulla of vater neoplasm,3
2768,Operative procedures - secondary OPCS4 (T41.3 Freeing of adhesions of peritoneum),disease of peritoneum,4
2769,Operative procedures - secondary OPCS4 (T42.3 Endoscopic division of adhesions of peritoneum),disease of peritoneum,4
2770,Operative procedures - secondary OPCS4 (T43.9 Unspecified diagnostic endoscopic examination of peritoneum),obsolete_retroperitoneum,3
2771,Operative procedures - secondary OPCS4 (T46.2 Drainage of ascites NEC),obsolete avascular necrosis of genetic origin,1
2772,Operative procedures - secondary OPCS4 (T46.3 Irrigation of peritoneal cavity),peritoneal cavity,5
2773,Operative procedures - secondary OPCS4 (T52.5 Digital fasciectomy),obsolete_basibranchial bone,1
2774,Operative procedures - secondary OPCS4 (T62.2 Excision of bursa NEC),olecranon bursitis,5
2775,Operative procedures - secondary OPCS4 (T62.5 Injection into bursa),olecranon bursitis,4
2776,Operative procedures - secondary OPCS4 (T64.2 Transfer of tendon to tendon NEC),Tendon rupture,4
2777,Operative procedures - secondary OPCS4 (T64.5 Tenodesis),paraphimosis,2
2778,Operative procedures - secondary OPCS4 (T67.6 Primary simple repair of tendon),obsolete_extensor tendons of finger anomalies,5
2779,Operative procedures - secondary OPCS4 (T70.2 Tenotomy NEC),dacryoadenitis,2
2780,Operative procedures - secondary OPCS4 (T70.5 Lengthening of tendon),Achilles tendon contracture,4
2781,Operative procedures - secondary OPCS4 (T72.3 Release of constriction of sheath of tendon),Achilles tendon contracture,5
2782,Operative procedures - secondary OPCS4 (T74.8 Other specified other operations on tendon),obsolete_extensor tendons of finger anomalies,4
2783,Operative procedures - secondary OPCS4 (T77.4 Debridement of muscle NEC),secondary avascular necrosis,4
2784,Operative procedures - secondary OPCS4 (T79.1 Plastic repair of rotator cuff of shoulder NEC),obsolete_congenital shoulder dislocation,2
2785,Operative procedures - secondary OPCS4 (T85.1 Block dissection of cervical lymph nodes),cervical lymphadenitis,2
2786,Operative procedures - secondary OPCS4 (T85.2 Block dissection of axillary lymph nodes),Abnormality of the lymphatic system,4
2787,Operative procedures - secondary OPCS4 (T85.6 Block dissection of pelvic lymph nodes),Abnormality of the lymphatic system,4
2788,Operative procedures - secondary OPCS4 (T85.8 Other specified block dissection of lymph nodes),Abnormality of the lymphatic system,4
2789,Operative procedures - secondary OPCS4 (T86.2 Sampling of axillary lymph nodes),Absent axillary hair,3
2790,Operative procedures - secondary OPCS4 (T86.8 Other specified sampling of lymph nodes),mediastinal lymph node,3
2791,Operative procedures - secondary OPCS4 (T87.2 Excision or biopsy of cervical lymph node NEC),benign neoplasm of lymph node,3
2792,Operative procedures - secondary OPCS4 (T87.3 Excision or biopsy of axillary lymph node),benign neoplasm of lymph node,3
2793,Operative procedures - secondary OPCS4 (T87.4 Excision or biopsy of mediastinal lymph node),mediastinal lymph node,5
2794,Operative procedures - secondary OPCS4 (T87.7 Excision or biopsy of inguinal lymph node),inguinal lymph node,5
2795,Operative procedures - secondary OPCS4 (T87.8 Other specified excision or biopsy of lymph node),obsolete_lymph node,4
2796,Operative procedures - secondary OPCS4 (T91.1 Biopsy of sentinel lymph node NEC),N0 lymph node stage,4
2797,Operative procedures - secondary OPCS4 (U05.1 Computed tomography of head),computed tomography,5
2798,Operative procedures - secondary OPCS4 (U05.2 Magnetic resonance imaging of head),neuroimaging measurement,5
2799,Operative procedures - secondary OPCS4 (U05.4 Computed tomography of spine),computed tomography,5
2800,Operative procedures - secondary OPCS4 (U05.5 Magnetic resonance imaging of spine),neuroimaging measurement,5
2801,Operative procedures - secondary OPCS4 (U07.1 Computed tomography of chest),computed tomography,5
2802,Operative procedures - secondary OPCS4 (U07.3 Plain x-ray of chest),abnormal result of diagnostic imaging,5
2803,Operative procedures - secondary OPCS4 (U08.1 Computed tomography of abdomen NEC),computed tomography,5
2804,Operative procedures - secondary OPCS4 (U09.1 Computed tomography of pelvis),computed tomography,5
2805,Operative procedures - secondary OPCS4 (U11.4 Computed tomography scan of cerebral vessels),vasculature of brain,5
2806,Operative procedures - secondary OPCS4 (U11.7 Magnetic resonance angiography),magnetic resonance imaging of the heart,3
2807,Operative procedures - secondary OPCS4 (U13.6 Computed tomography of bone),computed tomography,5
2808,Operative procedures - secondary OPCS4 (U16.2 Magnetic resonance cholangiopancreatography),extrahepatic bile duct,4
2809,Operative procedures - secondary OPCS4 (U20.1 Transthoracic echocardiography),pulsed doppler echocardiography,4
2810,Operative procedures - secondary OPCS4 (U20.2 Transoesophageal echocardiography),esophageal disease,4
2811,Operative procedures - secondary OPCS4 (U21.1 Magnetic resonance imaging NEC),volumetric brain MRI,4
2812,U21.2 Computed tomography NEC,computed tomography,5
2813,Operative procedures - secondary OPCS4 (U21.6 Ultrasound scan NEC),radiologic finding,5
2814,Operative procedures - secondary OPCS4 (U35.4 Computed tomography of pulmonary arteries),computed tomography,5
2815,Operative procedures - secondary OPCS4 (V25.5 Primary posterior decompression of lumbar spine NEC),lumbar disc herniation,5
2816,Operative procedures - secondary OPCS4 (V54.2 Graft of bone to spine NEC),progressive osseous heteroplasia,2
2817,Operative procedures - secondary OPCS4 (V54.4 Injection around spinal facet of spine),tumor of cranial and spinal nerves,4
2818,Operative procedures - secondary OPCS4 (V55.1 One level of spine),future spinal cord,4
2819,Operative procedures - secondary OPCS4 (V55.2 Two levels of spine),Spinal rigidity,4
2820,Operative procedures - secondary OPCS4 (V55.3 Greater than two levels of spine),Abnormal upper limb bone morphology,2
2821,Operative procedures - secondary OPCS4 (V55.9 Unspecified levels of spine),extra or missing processual parts,3
2822,Operative procedures - secondary OPCS4 (W08.2 Excision of overgrowth of bone),Limb overgrowth,5
2823,Operative procedures - secondary OPCS4 (W08.3 Excision of excrescence of bone),cancer of long bone of lower limb,4
2824,Operative procedures - secondary OPCS4 (W08.5 Partial excision of bone NEC),Ewing sarcoma of bone,3
2825,Operative procedures - secondary OPCS4 (W15.1 Osteotomy of neck of first metatarsal bone),Clinodactyly of the 5th toe,2
2826,Operative procedures - secondary OPCS4 (W15.3 Osteotomy of first metatarsal bone NEC),Carpal osteolysis,2
2827,Operative procedures - secondary OPCS4 (W15.4 Osteotomy of head of metatarsal bone),Clinodactyly of the 3rd toe,3
2828,Operative procedures - secondary OPCS4 (W15.6 Cuneiform osteotomy of proximal phalanx with resection of head of first metatarsal),Deafness - genital anomalies - metacarpal and metatarsal synostosis,4
2829,Operative procedures - secondary OPCS4 (W15.7 Osteotomy of bone of foot and fixation HFQ),Osteomyelitis leading to amputation due to slow healing fractures,2
2830,Operative procedures - secondary OPCS4 (W15.8 Other specified division of bone of foot),cancer of long bone of lower limb,3
2831,Operative procedures - secondary OPCS4 (W16.4 Osteotomy and internal fixation NEC),"Osteodysplasty, Melnick-Needles type",3
2832,Operative procedures - secondary OPCS4 (W20.1 Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC),obsolete_congenital pseudoarthrosis of the femur,3
2833,Operative procedures - secondary OPCS4 (W26.2 Manipulation of fracture of bone NEC),Bowing of the long bones,5
2834,Operative procedures - secondary OPCS4 (W28.1 Application of internal fixation to bone NEC),Osteomyelitis leading to amputation due to slow healing fractures,3
2835,Operative procedures - secondary OPCS4 (W28.3 Removal of internal fixation from bone NEC),aseptic loosening,3
2836,Operative procedures - secondary OPCS4 (W30.1 Application of external fixation to bone NEC),Osteomyelitis leading to amputation due to slow healing fractures,4
2837,Operative procedures - secondary OPCS4 (W31.4 Cancellous chip autograft of bone),Primary bone dysplasia with increased bone density,3
2838,Operative procedures - secondary OPCS4 (W31.8 Other specified other autograft of bone),obsolete aggrecan-related bone disorder,3
2839,Operative procedures - secondary OPCS4 (W31.9 Unspecified other autograft of bone),obsolete_primary bone dysplasia with increased bone density,2
2840,Operative procedures - secondary OPCS4 (W32.2 Allograft of bone NEC),secondary avascular necrosis,4
2841,Operative procedures - secondary OPCS4 (W32.9 Unspecified other graft of bone),Drugs affecting bone structure and mineralization use measurement,3
2842,Operative procedures - secondary OPCS4 (W36.5 Diagnostic extraction of bone marrow NEC),pure red-cell aplasia,4
2843,Operative procedures - secondary OPCS4 (W57.2 Primary excision arthroplasty of joint NEC),total joint arthroplasty,4
2844,Operative procedures - secondary OPCS4 (W58.0 Conversion from previous resurfacing arthroplasty of joint),revision of total joint arthroplasty,5
2845,Operative procedures - secondary OPCS4 (W58.1 Primary resurfacing arthroplasty of joint),total joint arthroplasty,4
2846,Operative procedures - secondary OPCS4 (W59.3 Fusion of first metatarsophalangeal joint NEC),spondyloepiphyseal dysplasia with metatarsal shortening,3
2847,Operative procedures - secondary OPCS4 (W59.5 Fusion of interphalangeal joint of toe NEC),Clinodactyly of the 4th toe,3
2848,Operative procedures - secondary OPCS4 (W62.1 Primary arthrodesis and internal fixation of joint NEC),revision of total joint arthroplasty,2
2849,Operative procedures - secondary OPCS4 (W69.3 Partial synovectomy),syndactyly,2
2850,Operative procedures - secondary OPCS4 (W71.2 Open excision of intra-articular osteophyte),periprosthetic osteolysis,4
2851,Operative procedures - secondary OPCS4 (W78.1 Release of contracture of shoulder joint),Limb joint contracture,5
2852,Operative procedures - secondary OPCS4 (W78.4 Limited release of contracture of capsule of joint),Joint contracture of the hand,5
2853,Operative procedures - secondary OPCS4 (W78.8 Other specified release of contracture of joint),Contractures of the large joints,5
2854,Operative procedures - secondary OPCS4 (W79.1 Soft tissue correction of hallux valgus),Hallux valgus,5
2855,Operative procedures - secondary OPCS4 (W79.2 Excision of bunion NEC),Clinodactyly of the 4th toe,2
2856,Operative procedures - secondary OPCS4 (W80.2 Open debridement of joint NEC),Osteomyelitis leading to amputation due to slow healing fractures,4
2857,Operative procedures - secondary OPCS4 (W82.2 Endoscopic resection of semilunar cartilage NEC),"obsolete_humero-radio-ulnar synostosis, unilateral",2
2858,Operative procedures - secondary OPCS4 (W83.3 Endoscopic shaving of articular cartilage),articular cartilage of joint,5
2859,Operative procedures - secondary OPCS4 (W83.4 Endoscopic articular abrasion chondroplasty),total joint arthroplasty,4
2860,Operative procedures - secondary OPCS4 (W83.6 Endoscopic excision of articular cartilage NEC),articular cartilage of joint,5
2861,Operative procedures - secondary OPCS4 (W83.8 Other specified therapeutic endoscopic operations on other articular cartilage),obsolete_non-syndromic congenital joint dislocations,3
2862,Operative procedures - secondary OPCS4 (W84.4 Endoscopic decompression of joint),obsolete congenital pseudoarthrosis of the limbs,2
2863,Operative procedures - secondary OPCS4 (W84.5 Endoscopic drilling of epiphysis for repair of articular cartilage),multiple epiphyseal dysplasia due to collagen 9 anomaly,4
2864,Operative procedures - secondary OPCS4 (W84.6 Endoscopic excision of synovial plica),synovial plica syndrome,5
2865,Operative procedures - secondary OPCS4 (W84.8 Other specified therapeutic endoscopic operations on other joint structure),"obsolete_acrofacial dysostosis, Weyers type",2
2866,Operative procedures - secondary OPCS4 (W85.1 Endoscopic removal of loose body from knee joint),Abnormality of upper limb joint,3
2867,Operative procedures - secondary OPCS4 (W85.2 Endoscopic irrigation of knee joint),Abnormality of the lower limb,4
2868,Operative procedures - secondary OPCS4 (W85.8 Other specified therapeutic endoscopic operations on cavity of knee joint),obsolete_bone of lower extremity,2
2869,Operative procedures - secondary OPCS4 (W87.9 Unspecified diagnostic endoscopic examination of knee joint),unspecified juvenile idiopathic arthritis,4
2870,Operative procedures - secondary OPCS4 (W89.1 Endoscopic chondroplasty NEC),chondrodysplasia,3
2871,Operative procedures - secondary OPCS4 (W90.1 Aspiration of joint),Aspiration,5
2872,Operative procedures - secondary OPCS4 (W90.3 Injection of therapeutic substance into joint),Abnormality of upper limb joint,4
2873,Operative procedures - secondary OPCS4 (W91.9 Unspecified other manipulation of joint),unspecified juvenile idiopathic arthritis,4
2874,Operative procedures - secondary OPCS4 (W92.4 Examination of joint under anaesthetic),inhalation anaesthetic,3
2875,Operative procedures - secondary OPCS4 (X29.2 Continuous intravenous infusion of therapeutic substance NEC),trait in response to tacrolimus hydrate,4
2876,Operative procedures - secondary OPCS4 (X29.8 Other specified continuous Infusion of therapeutic substance),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",3
2877,Operative procedures - secondary OPCS4 (X29.9 Unspecified continuous Infusion of therapeutic substance),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",4
2878,Operative procedures - secondary OPCS4 (X30.1 Injection of Rh immune globulin),"IgG immunoglobulin complex, circulating",5
2879,Operative procedures - secondary OPCS4 (X30.8 Other specified injection of therapeutic substance),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",3
2880,Operative procedures - secondary OPCS4 (X31.2 Intravenous pyelography),urinary pH measurement,3
2881,Operative procedures - secondary OPCS4 (X33.2 Intravenous blood transfusion of packed cells),response to red blood cell transfusion,5
2882,Operative procedures - secondary OPCS4 (X33.3 Intravenous blood transfusion of platelets),response to red blood cell transfusion,3
2883,Operative procedures - secondary OPCS4 (X33.9 Unspecified other blood transfusion),response to red blood cell transfusion,5
2884,Operative procedures - secondary OPCS4 (X35.2 Intravenous chemotherapy),response to combination chemotherapy,4
2885,Operative procedures - secondary OPCS4 (X35.8 Other specified other intravenous injection),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",3
2886,Operative procedures - secondary OPCS4 (X36.8 Other specified blood withdrawal),obsolete_blood plasma,4
2887,Operative procedures - secondary OPCS4 (X36.9 Unspecified blood withdrawal),obsolete_presumptive blood,5
2888,Operative procedures - secondary OPCS4 (X37.5 Intramuscular injection for local action),response to neuromuscular blocker,3
2889,Operative procedures - secondary OPCS4 (X38.2 Injection of steroid for local action NEC),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",4
2890,Operative procedures - secondary OPCS4 (X40.3 Haemodialysis NEC),renal dialysis,5
2891,Operative procedures - secondary OPCS4 (X40.4 Haemofiltration),leukapheresis,4
2892,Operative procedures - secondary OPCS4 (X48.1 Application of plaster cast),Abnormal upper limb bone morphology,4
2893,Operative procedures - secondary OPCS4 (X50.1 Direct current cardioversion),electric current unit,5
2894,Operative procedures - secondary OPCS4 (X55.8 Other specified other operations on unspecified organ),obsolete abdominal and pelvic region disorder,4
2895,Operative procedures - secondary OPCS4 (X65.3 Delivery of a fraction of interstitial radiotherapy),response to cranial radiation therapy,3
2896,Operative procedures - secondary OPCS4 (X65.4 Delivery of a fraction of external beam radiotherapy NEC),response to cranial radiation therapy,4
2897,Operative procedures - secondary OPCS4 (X70.1 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 1),response to platinum-based neoadjuvant chemotherapy,4
2898,Operative procedures - secondary OPCS4 (X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2),response to platinum-based neoadjuvant chemotherapy,4
2899,Operative procedures - secondary OPCS4 (X70.8 Other specified procurement of drugs for chemotherapy for neoplasm in Bands 1-5),obsolete_response to platinum based chemotherapy,4
2900,Operative procedures - secondary OPCS4 (X71.3 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 8),response to platinum-based neoadjuvant chemotherapy,4
2901,Operative procedures - secondary OPCS4 (X71.5 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 10),response to platinum-based chemotherapy,4
2902,Operative procedures - secondary OPCS4 (X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance),response to platinum-based neoadjuvant chemotherapy,4
2903,Operative procedures - secondary OPCS4 (X72.2 Delivery of complex parenteral chemotherapy for neoplasm at first attendance),neoplasm of mature T-cells or NK-cells,4
2904,Operative procedures - secondary OPCS4 (X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance),response to platinum-based neoadjuvant chemotherapy,4
2905,Operative procedures - secondary OPCS4 (X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm),response to platinum-based neoadjuvant chemotherapy,4
2906,Operative procedures - secondary OPCS4 (X72.9 Unspecified delivery of chemotherapy for neoplasm),refractory malignant neoplasm,4
2907,Operative procedures - secondary OPCS4 (X73.1 Delivery of exclusively oral chemotherapy for neoplasm),response to antineoplastic agent,5
2908,Operative procedures - secondary OPCS4 (X83.1 Blood products Band 1),blood component,5
2909,Operative procedures - secondary OPCS4 (X85.1 Torsion dystonias and other involuntary movements drugs Band 1),torsion dystonia 2,5
2910,Operative procedures - secondary OPCS4 (X90.3 Neutropenia drugs Band 1),neutropenia,5
2911,Operative procedures - secondary OPCS4 (X90.4 Intravenous nutrition Band 1),total parenteral nutrition,5
2912,Operative procedures - secondary OPCS4 (X93.1 Subfoveal choroidal neovascularisation drugs Band 1),choroidal neovascularization,5
2913,Operative procedures - secondary OPCS4 (X99.9 Not known (procedure performed)),Therapeutic Procedure,4
2914,Operative procedures - secondary OPCS4 (Y02.1 Implantation of prosthesis into organ NOC),encounter with health service for adjustment and management of implanted device,5
2915,Operative procedures - secondary OPCS4 (Y02.2 Insertion of prosthesis into organ NOC),obsolete_liver primordium,2
2916,Operative procedures - secondary OPCS4 (Y03.1 Maintenance of prosthesis in organ NOC),Prosthesis-Related Infections,5
2917,Operative procedures - secondary OPCS4 (Y03.2 Renewal of prosthesis in organ NOC),obsolete_otolith organ,2
2918,Operative procedures - secondary OPCS4 (Y03.3 Correction of displacement of prosthesis NOC),obsolete_malposition of external canthus,4
2919,Operative procedures - secondary OPCS4 (Y03.6 Adjustment to prosthesis in organ NOC),Prosthesis-Related Infections,5
2920,Operative procedures - secondary OPCS4 (Y03.7 Removal of prosthesis from organ NOC),Prosthesis-Related Infections,5
2921,Operative procedures - secondary OPCS4 (Y05.2 Partial excision of organ NOC),portion of meristem tissue,4
2922,Operative procedures - secondary OPCS4 (Y05.3 Excision of sinus track from organ NOC),dilatation of the sinus of Valsalva,3
2923,Operative procedures - secondary OPCS4 (Y05.5 Debridement of organ NOC),adult pure red cell aplasia,1
2924,Operative procedures - secondary OPCS4 (Y06.4 Excision of scar tissue NOC),postburn hypertrophic scarring severity measurement,5
2925,Operative procedures - secondary OPCS4 (Y06.8 Other specified excision of lesion of organ NOC),obsolete_non-syndromic limb reduction defect,3
2926,Operative procedures - secondary OPCS4 (Y06.9 Unspecified excision of lesion of organ NOC),obsolete_precancerous lesion of palpebral epidermis,4
2927,Operative procedures - secondary OPCS4 (Y07.1 Ligation of organ NOC),DNA ligase IV deficiency,4
2928,Operative procedures - secondary OPCS4 (Y07.2 Clipping of organ NOC),obsolete_neurohemal organ,3
2929,Operative procedures - secondary OPCS4 (Y08.1 Laser excision of organ NOC),surgery on leg artery,2
2930,Operative procedures - secondary OPCS4 (Y08.2 Laser excision of lesion of organ NOC),ampulla of vater neoplasm,4
2931,Operative procedures - secondary OPCS4 (Y08.4 Laser destruction of lesion of organ NOC),obsolete_major induction processes eye anomaly,2
2932,Operative procedures - secondary OPCS4 (Y08.6 Laser incision of organ NOC),Incisional hernia,3
2933,Operative procedures - secondary OPCS4 (Y08.8 Other specified laser therapy to organ NOC),ATC Code B Blood and blood forming organs,3
2934,Operative procedures - secondary OPCS4 (Y08.9 Unspecified laser therapy to organ NOC),obsolete_non-syndromic limb reduction defect,1
2935,Operative procedures - secondary OPCS4 (Y11.1 Cauterisation of organ NOC),obsolete_neurohemal organ,3
2936,Operative procedures - secondary OPCS4 (Y11.2 Cryotherapy to organ NOC),cryohydrocytosis,3
2937,Operative procedures - secondary OPCS4 (Y11.3 Curettage of organ NOC),curettage,5
2938,Operative procedures - secondary OPCS4 (Y11.4 Radiofrequency controlled thermal destruction of organ NOC),obsolete_Malignant hyperthermia,4
2939,Operative procedures - secondary OPCS4 (Y11.8 Other specified other destruction of organ NOC),obsolete_neurohemal organ,3
2940,Operative procedures - secondary OPCS4 (Y13.1 Cauterisation of lesion of organ NOC),obsolete_pericalcarine cortex volume measurement,1
2941,Operative procedures - secondary OPCS4 (Y13.2 Cryotherapy to lesion of organ NOC),obsolete_response to diruetic,1
2942,Operative procedures - secondary OPCS4 (Y13.3 Curettage of lesion of organ NOC),obsolete_precancerous lesion of palpebral epidermis,4
2943,Operative procedures - secondary OPCS4 (Y13.4 Radiofrequency controlled thermal destruction of lesion of organ NOC),obsolete_precancerous lesion of palpebral epidermis,2
2944,Operative procedures - secondary OPCS4 (Y14.3 Insertion of metal stent into organ NOC),stricture or kinking of ureter,4
2945,Operative procedures - secondary OPCS4 (Y14.4 Insertion of plastic stent into organ NOC),stricture or kinking of ureter,5
2946,Operative procedures - secondary OPCS4 (Y14.9 Unspecified placement of stent in organ NOC),encounter with health service for adjustment and management of implanted device,4
2947,Operative procedures - secondary OPCS4 (Y15.2 Renewal of stent in organ NOC),Cardiac shunt,4
2948,Operative procedures - secondary OPCS4 (Y15.7 Removal of stent from organ NOC),vein graft stenosis,4
2949,Operative procedures - secondary OPCS4 (Y16.2 Anastomosis of organ NOC),obsolete_axial chorda mesoderm,2
2950,Operative procedures - secondary OPCS4 (Y18.1 Freeing of adhesions of organ NOC),ATC Code B Blood and blood forming organs,1
2951,Operative procedures - secondary OPCS4 (Y18.8 Other specified release of organ NOC),obsolete_myoseptum,2
2952,Operative procedures - secondary OPCS4 (Y20.1 Stereotactic biopsy of lesion of organ NOC),obsolete_neurogenic palpebral tumor,3
2953,Operative procedures - secondary OPCS4 (Y20.3 Biopsy of lesion of organ NOC),liver dysplastic nodule,4
2954,Operative procedures - secondary OPCS4 (Y20.4 Fine needle aspiration NOC),bone marrow aspiration,4
2955,Operative procedures - secondary OPCS4 (Y20.8 Other specified biopsy of organ NOC),obsolete_lymph node,4
2956,Operative procedures - secondary OPCS4 (Y20.9 Unspecified biopsy of organ NOC),obsolete unspecified inborn mitochondrial disorder,1
2957,Operative procedures - secondary OPCS4 (Y21.1 Brush cytology of organ NOC),obsolete_apical meristem,1
2958,Operative procedures - secondary OPCS4 (Y21.8 Other specified cytology of organ NOC),"Visium CytAssist Spatial Gene Expression, 11mm",4
2959,Operative procedures - secondary OPCS4 (Y21.9 Unspecified cytology of organ NOC),Unspecified mitochondrial disorder,2
2960,Operative procedures - secondary OPCS4 (Y22.1 Aspiration of haematoma of organ NOC),cavernous hemangioma of colon,3
2961,Operative procedures - secondary OPCS4 (Y22.2 Aspiration of other lesion of organ NOC),liver abscess (disease),4
2962,Operative procedures - secondary OPCS4 (Y22.3 Irrigation of organ NOC),obsolete_chordotonal organ,3
2963,Operative procedures - secondary OPCS4 (Y22.8 Other specified drainage of organ NOC),obsolete_lympoid tissue,3
2964,Operative procedures - secondary OPCS4 (Y22.9 Unspecified drainage of organ NOC),obsolete organonitrogen compound metabolic process,1
2965,Operative procedures - secondary OPCS4 (Y25.1 Suture of laceration of organ NOC),stricture or kinking of ureter,3
2966,Operative procedures - secondary OPCS4 (Y26.1 Reconstruction of organ NOC),ATC Code S Sensory organs,4
2967,Operative procedures - secondary OPCS4 (Y26.3 Stapling of organ NOC),SSRI use measurement,1
2968,Operative procedures - secondary OPCS4 (Y26.8 Other specified other repair of organ NOC),obsolete_neurohemal organ,3
2969,Operative procedures - secondary OPCS4 (Y27.1 Autograft to organ NOC),HUVEC cell line,3
2970,Operative procedures - secondary OPCS4 (Y27.4 Attention to graft of organ NOC),ATC Code B Blood and blood forming organs,3
2971,Operative procedures - secondary OPCS4 (Y33.1 Acupuncture of organ NOC),response to synacthen,3
2972,Operative procedures - secondary OPCS4 (Y35.4 Introduction of radioactive substance into organ for brachytherapy NOC),response to BCG intravesical immunotherapy,3
2973,Operative procedures - secondary OPCS4 (Y36.2 Introduction of therapeutic implant into organ NOC),ATC Code B Blood and blood forming organs,3
2974,Operative procedures - secondary OPCS4 (Y36.3 Radioactive seed implantation NOC),obsolete_secondary ectropion,1
2975,Operative procedures - secondary OPCS4 (Y38.8 Other specified injection of therapeutic substance into organ NOC),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",3
2976,Operative procedures - secondary OPCS4 (Y38.9 Unspecified injection of therapeutic substance into organ NOC),"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",3
2977,Operative procedures - secondary OPCS4 (Y39.2 Other injection of radiocontrast substance into organ NOC),obsolete_response to thiopurine,1
2978,Operative procedures - secondary OPCS4 (Y39.3 Injection of inert substance into organ NOC),ATC Code B Blood and blood forming organs,3
2979,Operative procedures - secondary OPCS4 (Y39.5 Tattooing of organ NOC),ATC Code B Blood and blood forming organs,2
2980,Operative procedures - secondary OPCS4 (Y39.8 Other specified injection of other substance into organ NOC),obsolete_major induction processes eye anomaly,2
